UF;MUNICIPIO;TIPO;QUANTIDADE
AC;ACRELANDIA;AUTOMOVEL;1357
AC;ACRELANDIA;BONDE;0
AC;ACRELANDIA;CAMINHAO;349
AC;ACRELANDIA;CAMINHAO TRATOR;27
AC;ACRELANDIA;CAMINHONETE;640
AC;ACRELANDIA;CAMIONETA;50
AC;ACRELANDIA;CHASSI PLATAF;0
AC;ACRELANDIA;CICLOMOTOR;2
AC;ACRELANDIA;MICRO-ONIBUS;10
AC;ACRELANDIA;MOTOCICLETA;3227
AC;ACRELANDIA;MOTONETA;375
AC;ACRELANDIA;ONIBUS;42
AC;ACRELANDIA;QUADRICICLO;0
AC;ACRELANDIA;REBOQUE;69
AC;ACRELANDIA;SEMI-REBOQUE;44
AC;ACRELANDIA;SIDE-CAR;0
AC;ACRELANDIA;OUTROS;0
AC;ACRELANDIA;TRATOR ESTEI;0
AC;ACRELANDIA;TRATOR RODAS;0
AC;ACRELANDIA;TRICICLO;0
AC;ACRELANDIA;UTILITARIO;11
AC;ASSIS BRASIL;AUTOMOVEL;320
AC;ASSIS BRASIL;BONDE;0
AC;ASSIS BRASIL;CAMINHAO;25
AC;ASSIS BRASIL;CAMINHAO TRATOR;0
AC;ASSIS BRASIL;CAMINHONETE;147
AC;ASSIS BRASIL;CAMIONETA;18
AC;ASSIS BRASIL;CHASSI PLATAF;0
AC;ASSIS BRASIL;CICLOMOTOR;2
AC;ASSIS BRASIL;MICRO-ONIBUS;3
AC;ASSIS BRASIL;MOTOCICLETA;1127
AC;ASSIS BRASIL;MOTONETA;122
AC;ASSIS BRASIL;ONIBUS;3
AC;ASSIS BRASIL;QUADRICICLO;0
AC;ASSIS BRASIL;REBOQUE;15
AC;ASSIS BRASIL;SEMI-REBOQUE;0
AC;ASSIS BRASIL;SIDE-CAR;0
AC;ASSIS BRASIL;OUTROS;0
AC;ASSIS BRASIL;TRATOR ESTEI;0
AC;ASSIS BRASIL;TRATOR RODAS;0
AC;ASSIS BRASIL;TRICICLO;0
AC;ASSIS BRASIL;UTILITARIO;2
AC;BRASILEIA;AUTOMOVEL;2295
AC;BRASILEIA;BONDE;0
AC;BRASILEIA;CAMINHAO;277
AC;BRASILEIA;CAMINHAO TRATOR;153
AC;BRASILEIA;CAMINHONETE;1175
AC;BRASILEIA;CAMIONETA;82
AC;BRASILEIA;CHASSI PLATAF;0
AC;BRASILEIA;CICLOMOTOR;4
AC;BRASILEIA;MICRO-ONIBUS;6
AC;BRASILEIA;MOTOCICLETA;4458
AC;BRASILEIA;MOTONETA;966
AC;BRASILEIA;ONIBUS;19
AC;BRASILEIA;QUADRICICLO;0
AC;BRASILEIA;REBOQUE;114
AC;BRASILEIA;SEMI-REBOQUE;211
AC;BRASILEIA;SIDE-CAR;0
AC;BRASILEIA;OUTROS;0
AC;BRASILEIA;TRATOR ESTEI;0
AC;BRASILEIA;TRATOR RODAS;0
AC;BRASILEIA;TRICICLO;2
AC;BRASILEIA;UTILITARIO;31
AC;BUJARI;AUTOMOVEL;622
AC;BUJARI;BONDE;0
AC;BUJARI;CAMINHAO;121
AC;BUJARI;CAMINHAO TRATOR;31
AC;BUJARI;CAMINHONETE;279
AC;BUJARI;CAMIONETA;16
AC;BUJARI;CHASSI PLATAF;0
