"Região Habilitação Atual,""UF Habilitação Atual"",""Sexo"",""Faixa Etária"",""Categoria"",""Qt. Condutor Histórico"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""18 a 21"",""A-Condutor Moto"",""180"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""18 a 21"",""AB-Condutor Moto/Carro"",""11.522"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""18 a 21"",""AC-Condutor Moto/Caminhão"",""12"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""18 a 21"",""AD-Condutor Moto/Ônibus"",""39"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""18 a 21"",""AE-Condutor Moto/Carreta"",""4"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""18 a 21"",""B-Condutor Carro"",""19.041"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""18 a 21"",""C-Condutor Caminhão"",""10"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""18 a 21"",""D-Condutor Ônibus"",""21"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""18 a 21"",""E-Condutor Carreta"",""1"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""22 a 25"",""A-Condutor Moto"",""657"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""22 a 25"",""AB-Condutor Moto/Carro"",""26.332"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""22 a 25"",""AC-Condutor Moto/Caminhão"",""29"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""22 a 25"",""AD-Condutor Moto/Ônibus"",""1.419"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""22 a 25"",""AE-Condutor Moto/Carreta"",""75"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""22 a 25"",""B-Condutor Carro"",""38.174"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""22 a 25"",""C-Condutor Caminhão"",""13"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""22 a 25"",""D-Condutor Ônibus"",""528"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""22 a 25"",""E-Condutor Carreta"",""26"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""26 a 30"",""A-Condutor Moto"",""1.199"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""26 a 30"",""AB-Condutor Moto/Carro"",""41.401"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""26 a 30"",""AC-Condutor Moto/Caminhão"",""41"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""26 a 30"",""AD-Condutor Moto/Ônibus"",""5.485"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""26 a 30"",""AE-Condutor Moto/Carreta"",""697"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""26 a 30"",""B-Condutor Carro"",""50.915"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""26 a 30"",""C-Condutor Caminhão"",""17"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""26 a 30"",""D-Condutor Ônibus"",""2.254"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""26 a 30"",""E-Condutor Carreta"",""139"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""31 a 40"",""A-Condutor Moto"",""2.603"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""31 a 40"",""AB-Condutor Moto/Carro"",""88.150"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""31 a 40"",""AC-Condutor Moto/Caminhão"",""216"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""31 a 40"",""AD-Condutor Moto/Ônibus"",""24.005"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""31 a 40"",""AE-Condutor Moto/Carreta"",""4.199"""
